section,a_no_b_no,a_no_b_yes,a_yes_b_no,a_yes_b_yes,ci_hi,ci_lo,classifier,coder,dimension,dominant_zone,dominant_zone_n,dominant_zone_weight,environment,kappa,mapping,mapping_desc,n,n_sample,p_hat_reweighted,population,raw_sample_prevalence,scope,sensitivity,specificity,weight_clear-none,weight_clear-specific,weight_grey,zone_clear-none_n,zone_clear-none_p,zone_clear-specific_n,zone_clear-specific_p,zone_grey_n,zone_grey_p
mapping,,,,,9.516197353929913e-17,-8.688701931849052e-17,keyword,adjudicated,,,,,,-8.326672684688674e-17,B,generic_network_language,36,,,,,commons/mixed,0.0,1.0,,,,,,,,,
mapping,,,,,1.0,0.2510121457489883,keyword,adjudicated,,,,,,0.683760683760684,B,generic_network_language,37,,,,,triage/uniform_fair,0.9090909090909091,1.0,,,,,,,,,
mapping,,,,,0.9328358208955223,0.3999999999999999,keyword,adjudicated,,,,,,0.7037037037037036,B,generic_network_language,36,,,,,triage/mixed,0.9259259259259259,0.7777777777777778,,,,,,,,,
mapping,,,,,0.2840716942847481,0.11720930232558135,keyword,adjudicated,,,,,,0.19428664177893207,C,specific_reference OR generic_network_language,146,,,,,overall,0.456,1.0,,,,,,,,,
mapping,,,,,0.0,0.0,keyword,adjudicated,,,,,,0.0,C,specific_reference OR generic_network_language,37,,,,,commons/uniform_fair,0.0,,,,,,,,,,
mapping,,,,,9.516197353929913e-17,-8.688701931849052e-17,keyword,adjudicated,,,,,,-8.326672684688674e-17,C,specific_reference OR generic_network_language,36,,,,,commons/mixed,0.0,1.0,,,,,,,,,
mapping,,,,,0.8933717579250723,0.0,keyword,adjudicated,,,,,,0.5487804878048778,C,specific_reference OR generic_network_language,37,,,,,triage/uniform_fair,0.8823529411764706,1.0,,,,,,,,,
mapping,,,,,1.0,0.4285714285714286,keyword,adjudicated,,,,,,0.7499999999999999,C,specific_reference OR generic_network_language,36,,,,,triage/mixed,0.9,1.0,,,,,,,,,
mapping,,,,,0.7059571761712954,0.4356992269852423,judge,adjudicated,,,,,,0.573387278040009,A,specific_reference,146,,,,,overall,0.9655172413793104,0.7863247863247863,,,,,,,,,
mapping,,,,,1.0,1.0,judge,adjudicated,,,,,,1.0,A,specific_reference,37,,,,,commons/uniform_fair,,1.0,,,,,,,,,
