section,a_no_b_no,a_no_b_yes,a_yes_b_no,a_yes_b_yes,ci_hi,ci_lo,classifier,coder,dimension,dominant_zone,dominant_zone_n,dominant_zone_weight,environment,kappa,mapping,mapping_desc,n,n_sample,p_hat_reweighted,population,raw_sample_prevalence,scope,sensitivity,specificity,weight_clear-none,weight_clear-specific,weight_grey,zone_clear-none_n,zone_clear-none_p,zone_clear-specific_n,zone_clear-specific_p,zone_grey_n,zone_grey_p
mapping,,,,,0.7000000000000001,0.047058823529411965,judge,coder1,,,,,,0.39999999999999997,B,generic_network_language,36,,,,,triage/mixed,0.7777777777777778,0.6666666666666666,,,,,,,,,
mapping,,,,,0.236633496373756,0.07841211951185297,judge,coder1,,,,,,0.15182917255456116,C,specific_reference OR generic_network_language,146,,,,,overall,0.416,0.9523809523809523,,,,,,,,,
mapping,,,,,0.0,0.0,judge,coder1,,,,,,0.0,C,specific_reference OR generic_network_language,37,,,,,commons/uniform_fair,0.0,,,,,,,,,,
mapping,,,,,0.22335025380710657,0.0,judge,coder1,,,,,,0.08695652173913039,C,specific_reference OR generic_network_language,36,,,,,commons/mixed,0.125,1.0,,,,,,,,,
mapping,,,,,0.4825174825174826,-0.09703504043126675,judge,coder1,,,,,,0.18141592920353986,C,specific_reference OR generic_network_language,37,,,,,triage/uniform_fair,0.7352941176470589,0.6666666666666666,,,,,,,,,
mapping,,,,,0.8399999999999999,0.26530612244897994,judge,coder1,,,,,,0.5714285714285715,C,specific_reference OR generic_network_language,36,,,,,triage/mixed,0.8,1.0,,,,,,,,,
mapping,,,,,0.5372424722662441,0.23849457966864387,keyword,coder2,,,,,,0.3907554033811258,A,specific_reference,146,,,,,overall,0.78125,0.7192982456140351,,,,,,,,,
mapping,,,,,1.0,1.0,keyword,coder2,,,,,,1.0,A,specific_reference,37,,,,,commons/uniform_fair,,1.0,,,,,,,,,
mapping,,,,,1.0,0.0,keyword,coder2,,,,,,0.0,A,specific_reference,36,,,,,commons/mixed,0.0,1.0,,,,,,,,,
mapping,,,,,0.16289592760181004,-0.2046511627906977,keyword,coder2,,,,,,-0.009090909090909033,A,specific_reference,37,,,,,triage/uniform_fair,0.8,0.18518518518518517,,,,,,,,,
